,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst
Cleaning Supplies,"1,299",1142,1142 Scratch Cleaning Mop with 2 in 1 Self Clean Wash Dry Hands Free Flat Mop,2526,398,252,20,1039,18,881
Cleaning Supplies,1999,1268,1268  Heavy Duty Microfiber Spin Mop with Plastic Bucket,630,695,84,40,1199,18,1016
Cleaning Supplies,1499,1530,1530 Heavy Duty Microfiber Spin Mop with Plastic Bucket & Rotating Steel Pole Head,,425,42,50,750,18,635
Cleaning Supplies,999,4664,4664 Cleaning 360 Degree Healthy Spray Mop with Removable Washable Cleaning Pad,922,390,84,20,799,18,677
Computer Accessories,636,0274,0274 Laptop Bag 15.6 inch,1758,198,168,0,636,18,539
Computer Accessories,435,0295,"0295 USB Computer Mini Vacuum Cleaner, Car Vacuum Cleaner",240,69,42,25,326,18,276
Computer Accessories,810,0304,0304 Wireless/Bluetooth Portable Mobile Speaker (Multicolour),430,270,42,25,608,18,515
Computer Accessories,652,0306,0306 Extra Bass Stereo Headphone with Mic (3.5 mm Jack),226,163,42,30,456,18,387
Computer Accessories,596,0321,0321 Wireless Wifi Adapter (USB wifi Antenna 5dB 150mbps),310,149,42,25,447,18,379
Computer Accessories,999,1090,1090 Multipurpose Foldable Laptop Table (Multicolour),1930,348,168,15,849,18,720
Computer Accessories,999,1208,1208 Smart Laptop Backpack with USB Plug Charging Port (Multicolour),1703,420,168,10,899,18,762
Computer Accessories,499,1320,1320 Adjustable Laptop Stand Holder with Built-in Foldable Legs and High Quality Fibre,115,97,42,25,374,18,317
Garden,599,1242,1242 Automatic Spray Sanitizer Air freshener Humidifier,1000,175,84,15,509,18,431
Garden,428,0455,"0455 Wooden Handle Hedge Shears, Bush Clipper",319,107,42,15,364,18,308
Garden,572,0464,"0464 Folding Saw(180 mm) for Trimming, Pruning, Camping. Shrubs and Wood",229,130,42,25,429,18,364
Garden,485,0466,0466 Garden Shears Pruners Scissor (8 inch),190,89,42,25,364,18,308
