,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst
Power & Hand tools,415,0430,0430 Screwdriver Set  32 in 1 with Magnetic Holder,180,83,42,20,332,18,281
Power & Hand tools,464,0436,0436 Quick Snap N Grip,572,135,84,5,441,18,374
Power & Hand tools,1156,0437,"0437 -3X Large HSS Steel Step Cone Drill Titanium Bit Set Hole Cutter (4-32, 4-20, 4-12mm)",312,489,42,25,867,18,735
Power & Hand tools,616,0438,0438 Tubing Pipe Cutter,180,139,42,30,431,18,365
Power & Hand tools,416,0439,0439 Mini Bolt Cutter Wire Breaking Plier,256,103,42,15,354,18,300
Power & Hand tools,464,0440,0440 Revolving Leather Punch Plier,157,116,42,20,371,18,315
Power & Hand tools,652,0441,0441 Networking Crimping Tool,325,169,42,30,456,18,387
Power & Hand tools,792,0442,0442 Cutting Grinding Polishing Engraving Drill Bits Rotary Set (105 pcs),1000,198,84,25,594,18,503
Power & Hand tools,380,0443,0443 Metal Glass Cutter,32,62,42,15,323,18,274
Power & Hand tools,420,0445,"0445 Steel Screw Driver, Cutter and Pliers Set",350,105,42,10,378,18,320
Power & Hand tools,640,0447,0447 Adjustable Circle Hole Saw Drill Bit Cutter,350,160,42,25,480,18,407
Power & Hand tools,430,0451,0451 -24pcs T shape screwdriver set Batch Head Ratchet Pawl Socket Spanner hand tools,241,79,42,20,344,18,292
Power & Hand tools,350,0459,0459 Pencil Style Glass Cutter,100,48,42,15,298,18,252
Power & Hand tools,360,0460,0460 Antislip Metal Handle Steel Blade Oil Feed Glass Cutter,55,35,42,20,288,18,244
Power & Hand tools,330,0461,0461 Magnetic 31 in 1 Repairing Screw Driver Tool Set Kit,152,66,42,5,314,18,266
Power & Hand tools,408,0462,0462 Carpenter Mini Claw Hammer,358,117,42,5,388,18,328
Power & Hand tools,440,0573,"0573 Fibreglass Nail Hammer(450 GMS / 13"")",605,110,84,5,418,18,354
Power & Hand tools,440,0648,"0648 Water Pump Adjustable Plier Wrench Slip Joint Type, Chrome Plated (10 inch)",296,88,42,20,352,18,298
Power & Hand tools,399,1524,1524 Strong Durable Claw Hammer with Comfortable Grip - 13 Inch,420,110,42,5,379,18,321
Power & Hand tools,399,1545,1545 Heavy Duty Bolt Cutter,320,139,42,0,399,18,338
Power & Hand tools,399,1549,1549 Bolt Cutter Wire Breaking Plier,275,118,42,5,379,18,321
Power & Hand tools,699,1619,1619 Furniture Lifter Mover Tool Set Heavy Duty Furniture Shifting and Mover,1619,248,168,0,699,18,592
Repellents,784,0181,0181 Mini Photocatalyst Mosquito Lamps,706,187,84,30,549,18,465
Repellents,599,1219,1219 Eco Friendly Electronic Mosquito Killer Lamp,642,215,84,10,539,18,457
Repellents,499,1322,1322 Electric Mosquito Killer LED Lamp Light Bug Dispeller with Suction Fan,876,198,84,0,499,18,423
Security,744,0185,0185 Anti Theft Security Pad Lock with Smart Alarm,329,197,42,30,521,18,441
Security,435,0186,0186 Solid Imitation Copper Lock,430,87,42,20,348,18,295
Security,412,0218,0218 -4 Digit Combination Padlock,120,85,42,15,350,18,297
Security,375,0228,0228 Multi Purpose Key-Lock (Cable Lock),191,88,42,10,338,18,286
Security,2400,0323,0323 Panoramic Camera Light Bulb (WiFi Wireless Smart spy Bulb),289,1020,42,40,1440,18,1220
Security,1958,0324,0324 -360?ø 1080P WiFi Home Security Camera,645,979,84,20,1566,18,1327
Security,999,1212,1212 Resettable Code Combination Number Padlock,275,319,42,35,649,18,550
Shelves & Racks,799,1535,1535 Movable Wall Mount Stand for 14-42-inch LCD LED TV,1545,329,168,0,799,18,677
Shelves & Racks,999,2310,2310 Plastic 2 Layer Multi-Purpose Kitchen Storage Basket Rack,500,397,84,20,799,18,677
Socks,693,0478,0478 Mens Invisible Socks (12 pcs),500,240,84,15,589,18,499
Sports,432,0399,0399 Silicone Material Swimming Goggles,271,108,42,15,367,18,311
Sports,792,0576,0576 Multi-Function Collapsible  Self Defense Stick Extended,520,229,84,25,594,18,503
Sports,753,0875,0875 Portable USB Battery Rechargeable Mini Fan - Headphone Design Wearable Neckband Fan,210,225,42,30,527,18,447
Sports,399,1342,"1342 Extra Strong Pull String Body Building Training, Pull Rope Rubber Exerciser (loose)",665,115,84,0,399,18,338
Sports,1499,1443,1443 Portable Push Up Board System Body Building Exercise Tool,1198,397,126,40,899,18,762
Sports,699,1592,1592 Anti-Burst Exercise Heavy Duty Gym Ball (Multicolour) (75Cm) (No Box & No Pump),1592,279,168,0,699,18,592
Sports,999,4662,4662 Portable Magnetic Score Dart Board Set,1522,425,168,10,899,18,762
Stationery,660,0463,"0463  Hot Melt Glue Sticks size : 2.5 inch, thickness ( Pack of 100 )",748,286,84,5,627,18,531
Stationery,660,0483,0483 Transparent HOT MELT Glue Sticks for DIY and Craft Work Big 10 mm 8 inch  (Set of 40),639,220,84,15,561,18,475
Stationery,499,0560,0560 Gold Plated Professional Cloth Cutting Scissor,204,169,42,10,449,18,381
Stationery,440,0568,0568 Hot Melt Glue Gun (60 watts),400,110,42,15,374,18,317
Stationery,436,0575,0575 Glue Gun (40 watt),500,109,84,5,414,18,351
Stationery,399,1547,1547 Stainless Steel Tailoring Scissor Sharp Cloth Cutting for Professionals (9.5inch) (Golden),240,155,42,0,399,18,338
Toys For Kids,650,0273,0273 Bluetooth Microphone Player speaker (Karaoke),388,325,42,5,618,18,523
Toys For Kids,484,0285,0285 Harmonica (24 Hole),270,121,42,20,387,18,328
Toys For Kids,484,0313,"0313 Digital Writing Tablet, 4.4-inch LCD Writing Pad eWriter (No return policy)",43,71,42,30,339,18,287
Toys For Kids,484,0523,0523 Gold Plated Poker Playing Cards (Golden),124,135,42,15,411,18,349
Toys For Kids,499,0859,"0859 46 Pcs Plastic Art Colour Set with Color Pencil, Crayons, Oil Pastel and Sketch Pens",390,139,42,15,424,18,359
Toys For Kids,699,1082,1082 Dobble Game for Children (Multicolour),145,260,84,15,594,18,504
Toys For Kids,799,1083,1083 Dobble Spot It Card Educational Game,324,279,42,25,599,18,508
Toys For Kids,399,1360,1360 LCD Portable Writing Pad/Tablet for Kids - 8.5 Inch,148,137,42,0,399,18,338
Toys For Kids,599,1412,1412 Portable LCD writing Tablet Paperless Memo Digital Tablet Pad,238,279,42,5,569,18,482
Toys For Kids,599,1497,"1497 Cute, Cuddly and Clean Toddlers Training Seat",1066,230,126,0,599,18,508
Toys For Kids,2499,1599,1599 Portable Dual Nozzle Electric Balloon Blower Pump Inflator,1599,775,168,45,1374,18,1165
Toys For Kids,1499,1909,1909 Jumbo Size Go to School Kids Play Tent House (Multicolour),1909,489,168,30,1049,18,889
Toys For Kids,499,1911,1911 54 Pcs Blocks 4 Dices Wooden Tumbling Stacking Building,870,169,84,0,499,18,423
Toys For Kids,499,1912,1912 Wooden Xylophone Musical Toy for Children (MultiColor),322,135,42,20,399,18,338
Toys For Kids,599,2431,2431 High Quality Multi-Utility Compact Foldable Table,470,245,42,10,539,18,457
Toys For Kids,999,4603,"4603 Musical Learning Study Book with Numbers, Letters",405,459,42,15,849,18,720
Travel,1342,1342,"1342 Extra Strong Pull String Body Building Training, Pull Rope Rubber Exerciser (loose)",177,145,42,65,470,18,398
Travel,801,0233,0233 Travel Windproof Umbrella (Reverse Umbrella),450,239,42,30,561,18,475
Travel,455,0234,0234 -3 Fold Premium Umbrella,200,89,42,20,364,18,308
Travel,415,0505,"0505 -3-in-1 Air Travel Kit with Pillow, Ear Buds & Eye Mask",86,71,42,20,332,18,281
Travel,784,0514,0514 Three Layers Neck Traction Pillow,180,165,42,35,510,18,432
Travel,499,0518,0518 Pocket Folding Wine Bottle Umbrella,310,165,42,10,449,18,381
Travel,1420,0533,0533 Camping Waterproof Tent (4 Person),1237,710,126,15,1207,18,1023
Travel,596,0540,0540 New B Portable Water Bottle,280,123,42,30,417,18,354
Travel,693,0548,0548 Black Digital Portable Luggage Scale with LCD Backlight (50 kg),84,231,42,20,554,18,470
Travel,924,0550,0550 Portable Handheld Garment Steamer,576,462,84,10,832,18,705
Travel,"3,000",0708,"0709 Dual-Cylinder Foot Pump, Portable Floor Bike Pump, 150PSI Air Pump",2620,1188,252,30,2100,18,1780
Travel,499,0726,0726 Smart Vacuum Insulated Water Bottle with LED Temperature Display,322,225,42,0,499,18,423
Travel,499,1157,1157 Cross Body Travel Office Business Bag one Side Shoulder Bag Unisex,1188,205,126,0,499,18,423
Travel,799,1276,"1276 Sun Protection Water Proof Fabric Polyester Garden Umbrella for Beach, Lawn",117,305,42,20,639,18,542
Watch,528,1815,1815 Unique & Premium Analogue Watch Coffee color dial with eagle stylish watch (Watch 15),1815,65,168,10,475,18,403
Ayurvedic and Herbal products,675,AL333,Organic Amla Powder 200 gms,,,,30,473,5,450
Ayurvedic and Herbal products,850,AG338,Organic Ashwagandha Powder 200gms,,,,30,595,5,567
Ayurvedic and Herbal products,625,P6092,Organic Bhringraj Powder - 200gms,,,,25,469,5,446
Ayurvedic and Herbal products,625,BM337,Organic Brahmi Powder 200 gms,,,,25,469,5,446
Ayurvedic and Herbal products,600,HD334,Organic Haritaki Powder 200 gms,,,,25,450,5,429
Ayurvedic and Herbal products,640,P6122,Organic Jambu beej Powder - 200gms,,,,25,480,5,457
Ayurvedic and Herbal products,640,P6115,Organic Krounchbeej Powder - 200gms,,,,25,480,5,457
Ayurvedic and Herbal products,590,NM336,Organic Neem powder 200 gms,,,,20,472,5,450
Ayurvedic and Herbal products,700,P6108,Organic Punarnava Powder - 200gms,,,,30,490,5,467
Ayurvedic and Herbal products,740,SV335,Organic Shatavari Powder 200 gms,,,,25,555,5,529
Ayurvedic and Herbal products,650,TL332,Organic Triphala Powder 200 gms,,,,25,488,5,464
Ayurvedic and Herbal products,540,C3094,Arjuna 120 capsules,,,,20,432,12,386
Ayurvedic and Herbal products,545,C3100,Ashwagandha 120 capsules,,,,20,436,12,389
Ayurvedic and Herbal products,555,C3117,Brahmi 120 capsules,,,,20,444,12,396
Ayurvedic and Herbal products,565,T3315,Guggul 120 Tablets,,,,20,452,12,404
Ayurvedic and Herbal products,400,T3322,Moringa 120 Tablets,,,,5,380,12,339
Ayurvedic and Herbal products,890,C3254,Musli 120 capsules,,,,35,579,12,517
Ayurvedic and Herbal products,585,C3278,Punarnava 120 capsules,,,,25,439,12,392
Ayurvedic and Herbal products,525,C3193,Senna 120 capsules,,,,20,420,12,375
Ayurvedic and Herbal products,920,C3261,Shilajit 120 capsules,,,,40,552,12,493
Ayurvedic and Herbal products,575,T3308,Triphala 120 Tablets,,,,20,460,12,411
Ayurvedic and Herbal products,680,T9018,Amla 120 Tablets,,,,30,476,12,425
Ayurvedic and Herbal products,730,T9025,Ashwagandha 120 Tablets,,,,30,511,12,456
Ayurvedic and Herbal products,650,T9032,Giloy 120 Tablets,,,,25,488,12,435
Ayurvedic and Herbal products,680,T9049,Jambu 120 Tablets,,,,30,476,12,425
Ayurvedic and Herbal products,830,T9056,Musli 60 Tablets,,,,30,581,12,519
Ayurvedic and Herbal products,705,T9063,Senna 120 Tablets,,,,30,494,12,441
Ayurvedic and Herbal products,750,T9070,Shatavari 120 Tablets,,,,30,525,12,469
Ayurvedic and Herbal products,680,T9087,Tulsi 120 Tablets,,,,25,510,12,455
Ayurvedic and Herbal products,715,T9094,Turmeric 120 Tablets,,,,30,501,12,447
Ayurvedic and Herbal products,675,AR506,ARSOVEDIC - 60 Tablets,,,,25,506,12,452
Ayurvedic and Herbal products,640,CL819,CALCIPLUS - 60 Capsules,,,,25,480,12,429
Ayurvedic and Herbal products,615,DT402,DETOXHERBO - 60 Tablets,,,,20,492,12,439
Ayurvedic and Herbal products,665,DB403,DIABOVEDIC - 60 Tablets,,,,25,499,12,445
Ayurvedic and Herbal products,675,DG404,DIGESHERBO - 60 Tablets,,,,25,506,12,452
Ayurvedic and Herbal products,600,GT005,GAUTYPLUS - 60 Tablets,,,,20,480,12,429
Ayurvedic and Herbal products,650,HE507,HEMOVEDIC - 60 Tablets,,,,25,488,12,435
Ayurvedic and Herbal products,650,KS411,KESHOVEDIC - 60 Tablets,,,,25,488,12,435
Ayurvedic and Herbal products,615,LF085,LIVVEDIC - 60 Tablets,,,,20,492,12,439
Ayurvedic and Herbal products,600,MR215,MIGRAPLUS - 60 Tablets,,,,20,480,12,429
Ayurvedic and Herbal products,590,PC498,PROVEDIC - 60 Tablets,,,,20,472,12,421
Ayurvedic and Herbal products,750,RE479,REVEPLUS - 60 Capsules,,,,30,525,12,469
Ayurvedic and Herbal products,550,ST004,STONVEDIC - 60 Tablets,,,,20,440,12,393
Ayurvedic and Herbal products,700,TR405,TRIMOHERBO - 60 Tablets,,,,30,490,12,438
Ayurvedic and Herbal products,690,AT406,ArthroPlus - 30 Capsule,,,,30,483,12,431
Ayurvedic and Herbal products,675,CM508,CalmPlus - 30 Capsule,,,,30,473,12,422
Ayurvedic and Herbal products,665,FM408,FemoPlus - 30 Capsule,,,,25,499,12,445
Ayurvedic and Herbal products,675,GL407,GlowPlus - 30 Capsule,,,,25,506,12,452
Ayurvedic and Herbal products,665,IM409,ImmunoPlus - 30 Capsule,,,,25,499,12,445
Ayurvedic and Herbal products,670,OC509,OccuPlus- 30 Capsule,,,,25,503,12,449
Ayurvedic and Herbal products,665,SR410,SmrutiPlus - 30 Capsule,,,,25,499,12,445
Ayurvedic and Herbal products,700,VT412,VitoPlus - 30 Capsules,,,,30,490,12,438
Ayurvedic and Herbal products,515,KS060,Kesho Hair Oil 100 ml,,,,15,438,12,391
Ayurvedic and Herbal products,700,AT492,ArthroPlus Joint Care Oil - 100 ml,,,,30,490,12,438
Ayurvedic and Herbal products,565,KS610,Kesho Hair Wash 200ml - Anti Dandruff Hair Lotion,,,,20,452,18,383
Ayurvedic and Herbal products,540,CP0827,Herbo Mud Pack - 50g,,,,20,432,18,366
Ayurvedic and Herbal products,540,CP7168,Herbo Scrub Cream - 50g,,,,20,432,18,366
Ayurvedic and Herbal products,530,GL609,Herbo Aayu Cream - 50g,,,,20,424,18,359
Ayurvedic and Herbal products,450,EC6939,Herbo Under Eye Cream - 25g,,,,10,405,18,343
Ayurvedic and Herbal products,590,SI314,Spirulina 120 Tablets,,,,25,443,12,395
Ayurvedic and Herbal products,500,J4931,DiaboHerbo T - 30 Tea Tablets,,,,15,425,12,379
Ayurvedic and Herbal products,540,T0605,KofHerboT Kwath - 30 Tea Tablets,,,,20,432,12,386
Ayurvedic and Herbal products,525,TR405,TrimoHerbo T - 30 Tea Tablets,,,,15,446,12,398
Ayurvedic and Herbal products,360,SH404,Lemongrass - 200 gms,,,,0,360,12,321
Ayurvedic and Herbal products,428,J6798,Tulsi Ark 30ml drops,,,,5,407,12,363
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
