CATEGORY,MRP,product code,product name,DISCOUNT,GST,selling rate excl gst,hsn,
Baby Care,748,0316,0316 Digital LCD 8.5'' inch Writing Drawing Tablet Pad Graphic eWriter Boards Notepad,40,18,380,392690,
Mobile Accessories,596,0319,0319 Clip-on 8X Optical Zoom Telescope Phone Camera Lens,25,18,379,392690,
"Kitchen Storage, Container & Rack",599,0326,0326 Silicone Collapsible/Foldable Water Bottle,20,18,406,392310,
"Beauty, Health & Personal Care",484,0340,0340 -5-in-1 Smoothing Body & Facial Massager (Pink),20,18,328,392690,
"Beauty, Health & Personal Care",440,0341,0341 Electric Hot Water Bag,20,18,298,851640,
"Beauty, Health & Personal Care",564,0348,0348 Men's Beard and Hair Curling Straightener (Modelling Comb),25,18,358,851631,
"Beauty, Health & Personal Care",741,0350,0350 Multi-Function Beauty Equipment Skin Face Massage Bar (Beauty Vibrating Massage Tool),35,18,408,901910,
"Beauty, Health & Personal Care",843,0351,0351 -4 In 1 Blackhead Whitehead Extractor Remover Device Acne Pimple Pore Cleaner (Vacuum Suction Tool),40,18,429,391990,
"Beauty, Health & Personal Care",652,0352,0352 Thermal Head Spa Cap Treatment with Beauty Steamer Nourishing Heating Cap,25,18,414,851631,
"Kitchen Storage, Container & Rack",360,0360,"0364 Notebook Style Slim Water Bottle (380 ml, Multicolor)",10,18,275,392690,
"Beauty, Health & Personal Care",299,0367,0367 USB Vibration Full Body Massager,0,18,253,901910,
"Beauty, Health & Personal Care",484,0370,0370 -3D Roller Face Massager,20,18,328,901910,
Home Decor,699,0371,0371 Cute Beatles LED Light Humidifier Air Diffuser Purifier Atomizer Essential oil diffuser difusor de aroma mist maker fogger Gift,10,18,533,847989,
"Beauty, Health & Personal Care",484,0374,0374 Pill Pro 7 Day Weekly Tablet Medicine Organizer Box,20,18,328,392690,
Kitchen,452,0375,0375 -40Kg 10g Portable Handy Pocket Smile Mini Electronic Digital LCD Weighing Scale,15,18,326,690919,
"Beauty, Health & Personal Care",1000,0376,0376 Simply Ceramic Hair Straightener,35,18,551,851631,
"Beauty, Health & Personal Care",508,0377,0377  Adjustable Royal Posture Back Support Brace Unisex,25,18,323,630710,
"Beauty, Health & Personal Care",1144,0379,0379 Professional Massage Pillow,10,18,873,901910,
"Beauty, Health & Personal Care",360,0380,"0380 Reusable Cooling Gel Face Mask with Strap-on Velcro, Medium",10,18,275,950590,
"Beauty, Health & Personal Care",420,0381,0381 Velvet Electric Pain Relief Heating Bag,15,18,303,851610,
"Beauty, Health & Personal Care",325,0383,0383 Pill Case- 4 Row 28 Squares Weekly 7 Days Tablet Box Holder Medicine Storage Organizer Container,5,18,262,392410,
"Beauty, Health & Personal Care",684,0385,0385 2 in 1 Hair Straightener and Curler Machine For Women | Curl & Straight Hair Iron,25,18,435,851631,
"Beauty, Health & Personal Care",599,0386,0386 1500 Watts Professional Hair Dryer 2888 (Black),0,18,508,851631,
"Beauty, Health & Personal Care",684,0388,0388 Real Doctor Posture Corrector (Shoulder Back Support Belt),30,18,406,630710,
"Beauty, Health & Personal Care",600,0389,0389 Folding Hair Dryer Hair with 2 speed control,30,18,356,851631,
Hardware,1266,0406,0406 -12/15pcs Milling Cutter Router Bit Set,15,18,912,830240,
Hardware,636,0407,"0407 -10 pc, 6 pt. 3/8 in. Drive Standard Socket Wrench Set",5,18,512,731815,
Hardware,628,0408,0408 -6pcs Metal HSS Circular Saw Blade Set Cutting Discs for Rotary Tool,30,18,373,820340,
Hardware,380,0412,0412 -5 Pcs Shank Abrasive Mounted Stone (Multicolour),15,18,274,820340,
Power & Hand tools,612,0413,0413 PVC Pipe Cutter (Pipe and Tubing Cutter Tool),30,18,363,820340,
Power & Hand tools,440,0414,"0414 Hand Tools - Plastic Powerful Hand Saw 18"" for Craftsmen",15,18,317,820110,
Hardware,652,0415,0415 -12 pcs 19-64mm Hole Saw Kit,20,18,442,820740,
Hardware,365,0416,0416+419 Drill Bit (13 pcs + 5 pcs),15,18,263,820540,
Hardware,380,0417,"0417 Welding Goggles (Dark Green, Large)",20,18,258,900390,
Hardware,365,0419,0419 Drill Bits (13 pcs),15,18,263,820540,
Hardware,599,0421,0421 Socket Combination Toolkit (40 pcs),0,18,508,820340,
Hardware,1499,0422,"0422 Socket 1/4 Inch Combination Repair Tool Kit (Red, 46 pcs)",15,18,1080,820340,
Hardware,410,0424,0424 Silicone Carbide Combination Stone Knife Sharpener for Both Knives and Tools,20,18,278,680410,
Power & Hand tools,380,0427,0427 08 in 1 Multi-Function Screwdriver Kit with LED Portable Torch,15,18,274,820540,
Hardware,492,0428,"0428 Wood Hole Saw Cutting Set (11 pcs, 19-64mm, Multicolour)",15,18,354,820740,
Hardware Fitting,299,0429,"0429 8-inch Magnetic Torpedo Level with 1 Direction Pin, 2 Vials and 360 Degree View",0,18,253,903180,
Power & Hand tools,415,0430,0430 Screwdriver Set  32 in 1 with Magnetic Holder,20,18,281,820540,
Hardware,792,0432,0432 Hole Saw Drill Bit set (16 pcs),20,18,537,820740,
Hardware,365,0433,0433 Hole Saw Set Drill Bit set 32mm/38mm/44mm/54mm (6 pcs),10,18,278,820740,
Power & Hand tools,464,0436,0436 Quick Snap N Grip,5,18,374,820540,
Power & Hand tools,1156,0437,"0437 -3X Large HSS Steel Step Cone Drill Titanium Bit Set Hole Cutter (4-32, 4-20, 4-12mm)",25,18,735,820210,
Power & Hand tools,616,0438,0438 Tubing Pipe Cutter,30,18,365,820340,
Power & Hand tools,416,0439,0439 Mini Bolt Cutter Wire Breaking Plier,15,18,300,820340,
Power & Hand tools,464,0440,0440 Revolving Leather Punch Plier,20,18,315,830340,
Power & Hand tools,652,0441,0441 Networking Crimping Tool,30,18,387,820340,
Power & Hand tools,380,0443,0443 Metal Glass Cutter,15,18,274,820740,
Power & Hand tools,640,0447,0447 Adjustable Circle Hole Saw Drill Bit Cutter,25,18,407,820330,
