Handle,Titl,e,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
2648-sprout-maker-2-bowl-sprout-maker-for-home-2-layer,2648,Sprout Maker 2 Bowl Sprout Maker for Home (2 Layer),Default Title,,,,,2648_2Layer_Sprout_Maker,,,131
0093a-sprout-maker-3-bowl-sprout-maker-for-home-3-layer,93,A Sprout Maker 3 Bowl Sprout Maker for Home (3 Layer),Default Title,,,,,0093A_3Layer_Sprout_Maker,,,0
7060-non-stick-cookie-baking-sheet,7060,Non-Stick Cookie Baking Sheet,Default Title,,,,,7060_BKT_19X12In_21,,,0
7059-round-pizza-pan-pizza-baking-tray-bakeware-for-home-restaurant-kitchen,7059,Round Pizza Pan Pizza Baking Tray Bakeware For Home Restaurant Kitchen,Default Title,,,,,7059_BKT_Pizza_Pan,,,0
8061-run-construction-toys-set-1,8061,Run Construction Toys Set,Default Title,,,,,8061_Creative_Track_Game,,,347
7429-furniture-protection-pad-furniture-anti-slip-floor-protection-1,7429,Furniture Protection Pad Furniture Anti Slip Floor Protection,Default Title,,,,,7429_9Pc_Furniture_Pads,,,0
8051a-wooden-small-ludo-laptop-table-for-online-study-and-children,8051,A Wooden Small Ludo Laptop Table for Online Study and Children,Default Title,,,,,8051A_Ludo_S_WLTT_Box,,,39
0509-3-tier-fouldable-solid-stainless-steel-shoe-rack,509,3-Tier Fouldable Solid Stainless Steel Shoe Rack,Default Title,,,,,0509_3L_SS_Fold_Shoe_Stand,,,0
6104-home-cut-complete-hair-cutting-clipper,6104,Home Cut Complete Hair Cutting Clipper,Default Title,,,,,6104_Trimmer_E16,,,78
7055-non-stick-and-microwave-safe-bakeware-set-pack-of-50pcs,7055,Non-Stick and Microwave Safe Bakeware Set (Pack of 50Pcs),Default Title,,,,,7055_50Pc_Cake_Mix_BKT,,,0
8050a_barbie_wltt_n1_box,8050,A Wooden Small Barbie Laptop Table for Online Study and Children,Default Title,,,,,8050A_Barbie_S_WLTT_Box,,,0
8049a_mickey_wltt_box,8049,A Wooden Small Mickey Laptop Table for Online Study and Children,Default Title,,,,,8049A_Mickey_S_WLTT_Box,,,0
2652_cn_1pc_skimmer_tool,2652,Kitchen Utensil Sets Black Nylon Kitchen Tools Cooking Set Skimmer Spoon,Default Title,,,,,2652_CN_1Pc_Skimmer_Tool,,,64
2651-long-sauce-spoons-with-hook-for-restaurant-ladles-with-handle,2651,Long Sauce Spoons With Hook for Restaurant - Ladles with Handle,Default Title,,,,,2651_Soup_Spoon_Ladles,,,0
2650_4in1_slicer_grater,2650,4 In 1 Plastic Vegetable And Fruit Grater And Slicer For Kitchen,Default Title,,,,,2650_4in1_Slicer_Grater,,,83
6103_1pc_mix_adapter,6103,USB Fast Charger Adapter (Adapter Only),Default Title,,,,,6103_1Pc_Mix_Adapter,,,0
0065b,65,B Manual Stainless Steel Compact Extra Sharp Hand Held Vegetable Chopper/Slicer with 5 Blades (750 ml),Default Title,,,,,0065B_5_Blades_Handy_Chopper,,,586
flying-soccer-ball-magic-ball-frisbee-deformation-ufo-football-flat-throw-disc-with-led-light-flying-toys,8060,Flying Soccer Ball Magic Ball Frisbee Deformation UFO Football Flat Throw Disc (Without LED Light),Default Title,,,,,8060_Simple_UFO_Ball,,,34
7428_gym_ball_pump_combo,7428,Heavy Duty Gym Ball Non-Slip Stability Ball with Foot Pump for Total Body Fitness,Default Title,,,,,7428_Gym_Ball_Pump_Combo,,,94
0607b_washing_holder_basket,607,B Plastic Sink Dish Drainer Drying Rack (With Brown Box),Default Title,,,,,0607B_Washing_Holder_Basket,,,0
7427_mix_5mtr_measuring_tape,7427,Mix Design Measuring Tape 5 Meter (1Pc Only),Default Title,,,,,7427_1Pc_Mix_5Mtr_M_Tape,,,310
7427_usb_adapter_13,6102,Fast Charging Power Adaptor Without Cable for Devices (Adaptor Only),Default Title,,,,,6102_USB_Adapter_13,,,52
4764,4764,Silicone Mould Valentine's Day Rose Silicone Cake Baking Mould for Dessert Chocolate,Default Title,,,,,4764_Round_Big_Rose_Mould,,,0
4754-6-cavities-flower-silicone-food-grade-cake-mold-1,4754,6 Cavities Flower Silicone Food Grade Cake Mold,Default Title,,,,,4754_6Cavity_Sili_Rose_Mold,,,0
2324a-spill-stopper-lid-for-pans-and-pots,2324,A Spill Stopper Lid for Pans and Pots,Default Title,,,,,2324A_Silicone_Pot_Pan_Lid,,,37
4755-nonstick-silicone-cake-pan-nonstick-fluted-cake-mould-1,4755,"Nonstick Silicone Cake Pan, Nonstick Fluted Cake Mould",Default Title,,,,,4755_R_Bundt_Cake_Mould,,,58
6101-jawline-exerciser-to-define-your-jawline,6101,Jawline Exerciser To Define Your Jawline (1Pc Only),Default Title,,,,,6101_Jawline_Exerciser,,,84
0861-sink-strainer-basket-corner-kitchen-triangular-multi-functional-drain-shelf,861,A Sink Strainer Basket Corner Kitchen Triangular Multi functional Drain Shelf,Default Title,,,,,0861A_Washing_Strainer,,,4910
2638-silicone-pasta-server-1,2638,Heat-Resistant Pasta Server Baking Tools,Default Title,,,,,2638_1Pc_Pasta_Server,,,1304
2171a-plastic-egg-carry-tray-holder-carrier-storage-box,2171,A Plastic Egg Carry Tray Holder Carrier Storage Box,Default Title,,,,,2171A_12_Cavity_Egg_Tray,,,11281
2647_adj_flower_f_basket,2647,Fruit & Vegetable Storage Basket |Handicraft Table lamp Shape Basket for Dining Table,Default Title,,,,,2647_Adj_Flower_F_Basket,,,0
2649_pre_alu_fruit_press,2649,"Premium Quality Lemon Orange Juicer, Simple Fruit Press Squeezer",Default Title,,,,,2649_Pre_Alu_Fruit_Press,,,0
2642-plastic-kitchen-refrigerator-egg-storage-12-grid-1-layer-egg-container,2642,Plastic Kitchen Refrigerator Egg Storage 12 Grid 1 Layer Egg Container,Default Title,,,,,2642_12Grid_Egg_Box,,,55
1648-cartoon-character-metal-piggy-bank-coin-box-money-box-1,1648,Cartoon Character Metal Piggy Bank Coin Box Money Box,Default Title,,,,,1648_Cartoon_Piggy_Bank,,,106
2633-stainless-steel-medium-dinner-table-spoon-set-of-12pcs,2633,Stainless Steel Medium Dinner Table Spoon (Set of 12Pcs),Default Title,,,,,2633_12Pc_SS_Table_Spoon,,,0
8059_floor_mat,8059,Waterproof Double Side Baby Play Floor Mat for Kids Home With Bag (Size 120 x 180cm),Default Title,,,,,8059_2Side_P_Baby_Floor_Mat,,,0
4657a_anti_vibration_pad_4pc,4657,A Washer Dryer Anti Vibration Pads with Suction Cup Feet,Default Title,,,,,4657A_Anti_Vibration_Pad_4Pc,,,722
2641-multi-functional-spatula-holder-rest-for-kitchen-utensils-1,2641,Multi-Functional Spatula Holder/Rest for Kitchen Utensils,Default Title,,,,,2641_B_Spatula_Stand,,,3571
6099-hair-scalp-adjustable-massager-shampoo-brush-scalp-shampoo-brush,6099,"Hair Scalp Adjustable Massager Shampoo Brush,Scalp Shampoo Brush",Default Title,,,,,6099_Adj_Sili_Head_Massager,,,494
1164-adjustable-drawer-dividers-organiser-separator-8-pcs,1164,A Adjustable Drawer Dividers Organiser Separator 8 Pcs,Default Title,,,,,1164A_Drawer_Divider_8pc,,,229
