Handle,Titl,e,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
2277-3-5-ltr-water-rover-jug-plastic-multi-coloured,2277,3.5 LTR Water Rover Jug (Plastic) (Multi-coloured),Default Title,,,,,2277_3_5Ltr_Nexa_Jug,,,0
1365-plastic-cloth-clips-for-cloth-dying-cloth-clips-multicolour,1365,Plastic Cloth Clips for cloth Dying cloth clips (multicolour),Default Title,,,,,1365_Semi_Cloth_Clip_12Pc,,,0
1346-multipurpose-12-pcs-cloth-clips-multicolour,1364,Multipurpose 12 Pcs Cloth Clips (Multicolour),Default Title,,,,,1364_Fighter_Cloth_Clip_12Pc,,,255
2276-insulated-water-jug-7-litres-multicolour,2276,Insulated Water Jug 7 Litres (Multicolour),Default Title,,,,,2276_Insulated_Jug_7Ltr,,,0
1588-professional-two-sided-beef-meat-hammer-tenderizer,1588,Professional Two Sided Beef/Meat Hammer Tenderizer,Default Title,,,,,1588_Meat_Hammer,,,168
1587-40-watt-led-rechargeable-dual-mode-head-torch,1587,40 Watt LED Rechargeable Dual Mode Head Torch,Default Title,,,,,1587_40Watt_Head_Lamp,,,0
1363-wireless-bluetooth-sensor-12w-music-multicolor-led-bulb-with-remote-controller,1363,Wireless Bluetooth Sensor 12W Music Multicolor LED Bulb with Remote Controller,Default Title,,,,,1363_12W_Led_Music_Bulb,,,0
1586-bio-degradable-eco-friendly-garbage-trash-bags-rolls-24-x-32-green,1586,"Bio-degradable Eco Friendly Garbage/Trash Bags Rolls (24"" x 32"") (Green) (Pack of 20)",Default Title,,,,,1586_Green_Garbage_24x32,,,0
1585-bio-degradable-eco-friendly-garbage-trash-bags-rolls-19-x-21-green,1585,"Bio-degradable Eco Friendly Garbage/Trash Bags Rolls (19"" x 21"") (Green) (Pack of 30)",Default Title,,,,,1585_Green_Garbage_19x21,,,876
1584-decorative-wooden-landscape-art-with-hooks-for-wall-hanging,1584,Decorative Wooden Landscape Art with Hooks for Wall Hanging,Default Title,,,,,1584_Horizontal_4Hook_Art,,,0
1583-decorative-wooden-vertical-scenery-with-hooks-for-wall-hanging,1583,Decorative Wooden Vertical Scenery with Hooks for Wall Hanging,Default Title,,,,,1583_Vertical_4Hook_Art,,,0
2274-air-tight-apple-shape-storage-container-500-ml-800-ml-and-1500-ml-4-pcs-each-size-12-pcs,2274,"Air Tight Apple Shape Storage Container - 500 ml, 800 ml and 1500 ml (4 Pcs Each Size, 12 Pcs)",Default Title,,,,,2274_12Pc_Apple_Jar,,,70
2273-square-hygienic-roti-chapati-multi-print-design-cover,2273,Square Hygienic Roti/Chapati Multi Print Design Cover,Default Title,,,,,2273_Square_Roti_Cover,,,66
2272-round-hygienic-roti-chapati-print-design-cover,2272,Round Hygienic Roti/Chapati Print Design Cover,Default Title,,,,,2272_Round_Roti_Cover,,,0
0863-unbreakable-plastic-mickey-shaped-kids-snack-serving-plate,863,Unbreakable Plastic Mickey Shaped Kids/Snack Serving Plate,Default Title,,,,,0863_Mickey_Plate,,,1127
1141-multipurpose-shelf-storage-rack-organizer-caddy-basket-with-sticker,1141,Multipurpose Shelf Storage Rack Organizer Caddy Basket with Sticker,Default Title,,,,,1141_Heart_Caddy_Basket,,,0
1582-stainless-steel-wall-mount-set-top-box-stand,1582,Stainless Steel Wall Mount Set Top Box Stand,Default Title,,,,,1582_SS_Setup_Box_Stand,,,71
3677-mason-jar-with-airtight-lids-1000-ml-multicolour,3676,Mason Jar with Airtight lids (1000 ml) (multicolour),Default Title,,,,,3676_Milky_Way_1000ml,,,0
3681-plastic-airtight-locked-food-storage-containers-for-kitchen-300ml-multicolour,3681,Plastic Airtight Locked Food Storage Containers For Kitchen (300ml) (multicolour),Default Title,,,,,3681_Locked_Jar_300ml,,,0
654-3-in-1-plastic-soap-box-for-bathroom-and-sink-organizer-multicolour,3654,3 in 1 Plastic Soap Box for Bathroom and Sink Organizer (Multicolour),Default Title,,,,,3654_River_3in1_Dish,,,0
3684-food-storage-containers-kitchen-containers-for-storage-set-1000-ml-2000ml-3000-ml-set-of-3-multicoloured,3684,"Food Storage Containers Kitchen Containers for Storage Set 1000 ml, 2000ml, 3000 ml (Set of 3) (multicoloured)",Default Title,,,,,3684_Round_Con_Set_3pcs,,,0
3683-plastic-airtight-locked-food-storage-containers-for-kitchen-1200ml-multicolour,3683,Plastic Airtight Locked Food Storage Containers For Kitchen (1200ml) (multicolour),Default Title,,,,,3683_Locked_Jar_1200ml,,,0
3682-plastic-airtight-food-storage-containers-for-kitchen,3682,Plastic Airtight Locked Food Storage Containers For Kitchen (600ml) (multicolour),Default Title,,,,,3682_Locked_Jar_600ml,,,0
1140-hexagonal-wall-mount-storage-rack-shelf-for-home-decoration-set-of-3,1140,Hexagonal Wall Mount Modern Art for Home Decoration (Set of 3),Default Title,,,,,1140_Hexa_Art_3Pc,,,0
1581-green-compostable-corn-starch-garbage-bags-17-x-19,1581,"Green Compostable Corn Starch Garbage Bags (17"" x 19"") (Pack of 30)",Default Title,,,,,1581_Green_Garbage_17X19,,,0
3677-mason-jar-with-airtight-lids-2000-ml,3677,Mason Jar with Airtight lids (2000 ml),Default Title,,,,,3677_Milky_Way_2000ml,,,0
3652-self-draining-soap-holder-dish-for-bathroom,3652,Self Draining Soap Holder/Dish for Bathroom,Default Title,,,,,3652_Stream_Soap_Dish,,,0
3653-2-in-1-soap-keeping-plastic-case-for-bathroom-use,3653,2 in 1 Soap keeping Plastic Holder for Bathroom use,Default Title,,,,,3653_Lake_2in1_Dish,,,62
3670-plastic-pedal-dustbin-desk-dustbin,3670,Plastic Pedal Dustbin/Desk Dustbin,Default Title,,,,,3670_Padal_Small_Dustbin,,,0
3695-ivory-container-750ml,3695,Ivory Container  750ml,Default Title,,,,,3695_Tiktok_Ivory_750ml,,,0
2270-multipurpose-smart-shelf-basket-storage-basket-set-3-pc,2270,Multipurpose Smart Shelf Basket  Storage Basket (Set 3 Pc),Default Title,,,,,2270_Box_Smart_Basket_3Pc,,,347
1139-3-pcs-multicolor-wooden-floral-design-for-wall-art,1139,3 Pcs Multicolor Wooden Floral Design For Wall Art,Default Title,,,,,1139_Wall_Art_3Pc,,,33
1580-digital-multi-purpose-kitchen-weighing-scale-ts500,1580,Digital Multi-Purpose Kitchen Weighing Scale (TS500),Default Title,,,,,1580_TS500_Compact_Scale,,,37
2268-stainless-steel-forks-with-comfortable-grip-dining-fork-set-of-6-pcs,2268,Stainless Steel Forks with Comfortable Grip Dining Fork Set of 6 Pcs,Default Title,,,,,2268_B_Grade_Fork_6Pc,,,0
2269-stainless-steel-spoon-with-comfortable-grip-dining-spoon-set-of-6-pcs,2269,Stainless Steel Spoon with Comfortable Grip Dining Spoon Set of 6 Pcs,Default Title,,,,,2269_B_Grade_Spoon_6Pc,,,106
2266-multipurpose-kitchen-organizer-rack-with-water-storing-tray,2266,Multipurpose Kitchen Organizer Rack with Water Storing Tray,Default Title,,,,,2266_Color_Box_kitch_Rack,,,0
2267-5-ltr-water-rover-jug-plastic-multi-coloured,2267,5 LTR Water Rover Jug (Plastic) (Multi-coloured),Default Title,,,,,2267_5Ltr_Water_Jug,,,0
2265-stainless-steel-finger-guard-cutting-protector,2265,Stainless Steel Finger Guard Cutting Protector,Default Title,,,,,2265_Finger_Guard,,,0
1362-print-waterproof-canvas-laundry-bag,1362,Print Waterproof Canvas Laundry Bag,Default Title,,,,,1362_Printed_Laundry_Bag,,,0
3700-star-shaped-self-design-soap-case-holder-for-bathroom,3700,Star Shaped Self Design Soap Case Holder for Bathroom,Default Title,,,,,3700_Star_Soap_Case,,,0
3673-airtight-food-storage-container-with-locking-lids-700-ml,3673,Airtight Food Storage Container with Locking Lids (700 ml),Default Title,,,,,3673_Dream_land_700ml,,,0
3696-toothbrush-toothpaste-stand-holder-bathroom-storage,3696,Toothbrush Toothpaste Stand Holder Bathroom Storage,Default Title,,,,,3696_Ozone_Stand,,,0
3432-premium-quality-foam-stainless-steel-handle-bathroom-floor-cleaning-wiper,3432,Premium Quality Foam Plastic Handle Bathroom Floor Cleaning Wiper,Default Title,,,,,3432_Kitchen_Wiper,,,0
1361-hair-straightener-hair-straightening-comb-brush,1361,Hair Straightener Hair Straightening Comb Brush,Default Title,,,,,1361_Hair_Straightener_906A,,,0
2264-compartment-box-with-handle-push-lock,2264,Compartment Box with Handle & Push Lock,Default Title,,,,,2264_Premium_Travel_box,,,488
1138-flexible-silicone-honeycomb-design-37-cavity-ice-cube-tray-with-lid,1138,Flexible Silicone Honeycomb Design 37 Cavity Ice Cube Tray,Default Title,,,,,1138_37Cavity_Ice_Tray,,,169
3657-multipurpose-airtight-food-storage-containers-set-of-3-pcs,3657,Multipurpose Airtight Food Storage Containers (Set of 3 pcs),Default Title,,,,,3657_Locked_Jar_3pcs,,,115
2263-plastic-adjustable-over-sink-dish-drainer-multi-coloured,2263,Plastic Adjustable Over Sink Dish Drainer (Multi coloured),Default Title,,,,,2263_3In1_Adj_Basket,,,502
3675-standard-mason-jar-with-airtight-lids-600-ml,3675,Standard Mason Jar with Airtight lids (600 ml),Default Title,,,,,3675_Milky_Way_600ml,,,0
3651-plastic-soap-case-for-bathroom,3651,Plastic Soap Case for Bathroom,Default Title,,,,,3651_Pond_Soap_Dish,,,0
7605-cube-combo-set-pack-of-20-multi-coloured,7605,Cube Combo Set (Pack of 20) (Multi Coloured),Default Title,,,,,7605_20Pc_Antic_Cube,,,0
3438-scrub-sponge-cleaning-pads-aqua-green,3438,Scrub Sponge Cleaning Pads Aqua Green (Pack Of 6),Default Title,,,,,3438_Green_Pad_Small,,,0
3656-plastic-car-mini-dustbin-trash-bin-dust-case-best-for-traveling-multicolour,3656,Plastic Car Mini Dustbin/Trash Bin Dust Case Best for Traveling (Multicolour),Default Title,,,,,3656_Zadoli_Car_Dustbin,,,50
1137-3-different-shape-reusable-popsicle-moulds,1137,Cake Decorating Baking 3 Cavity Cactus Silicone Chocolate Mold (Pink),Default Title,,,,,1137_3Shape_Sili_Mold,,,0
1136-balloon-pack-for-birthday-party-decoration-occasions-100pac,1136,Balloon Pack for Birthday Party Decoration & Occasions (100 pcs),Default Title,,,,,1136_Birthday_Baloon_100Pc,,,210
1359_holi_balloons_111pc,1359,Holi Magic Water Balloons for Kids - 111 pcs (Multicolor),Default Title,,,,,1359_Holi_Balloons_111Pc,,,536
7009_450ml_grey_chopper,7009,"Multipurpose Manual Hand Held Vegetable Chopper, Cutter, Slicer with Storage Lid - 400 ml (Grey Color)",Default Title,,,,,7009_450Ml_Grey_Chopper,,,843
2256-airtight-plastic-juice-glass-sipper-bottle-with-straw,2256,Airtight Plastic Juice Glass/Sipper Bottle with Straw,Default Title,,,,,2256_Juice_Bottle_2Pc,,,0
1358-multipurpose-all-weather-arm-sleeves-for-sports-and-outdoor-activities,1358,Multipurpose All Weather Arm Sleeves for Sports and Outdoor activities,Default Title,,,,,1358_let_slim_Arm_Sleeve,,,2032
2255-multi-purpose-unbreakable-drinking-glass,2255,Multi Purpose Unbreakable Drinking Glass (Pack Of 6),Default Title,,,,,2255_Tiktok_Glass_6Pc,,,0
2253-multipurpose-vegetables-and-fruit-plastic-storage-bowl-with-cap,2253,Multipurpose Vegetables and Fruit Plastic Storage Bowl with Cap,Default Title,,,,,2253_Bowl_With_Cap,,,0
1133-heart-shape-ice-cube-tray,1133,Heart Shape Ice Cube Tray,Default Title,,,,,1133_Heart_Ice_Tray,,,0
1579-bottle-mop-for-home-cleaning,1579,Bottle Mop for Home Cleaning,Default Title,,,,,1579_Stick_Bottle_Mop,,,27
1132-multifunctional-hat-with-sun-glass-cooling-fan-for-adults-and-kids,1132,Multifunctional Hat with Sun Glass & Cooling Fan for Adults and Kids,Default Title,,,,,1132_5In1_Cap,,,0
1357-multifunctional-unisex-neck-gaiter-headband-for-dust-sun-protection-headwear,1357,Multifunctional Unisex Neck Gaiter Headband for Dust & Sun Protection Headwear,Default Title,,,,,1357_9In1_Mask,,,404
1356-washing-machine-scalegon-powder-for-machine-tub-cleaner-100-gm,1356,Washing Machine Scalegon Powder for Machine Tub Cleaner (100 gm),Default Title,,,,,1356_Scalegone_Powder_100Gm,,,111
7604-high-speed-multicolor-cube,7604,High Speed Multicolor Cube,Default Title,,,,,7604_Fancy_Rubic_Cube,,,71
2251-heart-shape-masala-spice-box-container,2251,Heart Shape Multipurpose Masala/Spice Box Container,Default Title,,,,,2251_Heart_Shape_Spicebox,,,0
1130-3-in-1-soap-keeping-plastic-case-for-bathroom-use,1130,3 in 1 Soap keeping Plastic Case for Bathroom use,Default Title,,,,,1130_3In1_Soap_Case,,,0
1129-simple-soap-keeping-plastic-case-for-bathroom-use,1129,Simple Soap keeping Plastic Case for Bathroom use,Default Title,,,,,1129_Simple_Soap_Case,,,0
1128-covered-soap-keeping-plastic-case-for-bathroom-use,1128,Covered Soap keeping Plastic Case for Bathroom use,Default Title,,,,,1128_Cover_Soap_Case,,,0
1127-2-in-1-soap-keeping-plastic-case-for-bathroom-use,1127,2 in 1 Soap keeping Plastic Case for Bathroom use,Default Title,,,,,1127_2In1_Soap_Case,,,0
2250-plastic-multipurpose-tea-and-coffee-strainer-pack-of-3,2250,Plastic Multipurpose Tea and Coffee Strainer (Pack of 3),Default Title,,,,,2250_3Pc_Cmb_Strainer,,,0
2249-plastic-multipurpose-juice-strainer,2249,Plastic Multipurpose Juice Strainer,Default Title,,,,,2249_MR_7_Juice_Strainer,,,0
2247-juice-strainers-multicolour,2247,Juice Strainers (Multicolour),Default Title,,,,,2247_MR_5_Juice_Strainer,,,0
2245-tea-and-coffee-strainers-multicolour,2245,Tea and Coffee Strainers (Multicolour),Default Title,,,,,2245_No_2_Strainer,,,0
2244-tea-and-coffee-strainers-multicolour,2244,Tea and Coffee Strainers (Multicolour),Default Title,,,,,2244_No_1_Strainer,,,0
1578-2-in-1-hand-cultivator-and-trowel-gardening-tool-with-wooden-handle,1578,2 in 1 Double Hoe Gardening Tool with Wooden Handle,Default Title,,,,,1578_2In1_Garden_Tool,,,2467
7008-manual-stainless-steel-blades-compact-hand-held-vegetable-chopper-slicer-brown-package-box,7008,Manual Stainless Steel Blades Compact Hand Held Vegetable Chopper/Slicer (Brown Package Box) (425 ml),Default Title,,,,,7008_Brown_Box_Atm_Chop,,,780
1125-closet-organizer-drawer-dividers-plastic-partition-cabinet-clapboard-8-pcs,1125,Closet Organizer Drawer Dividers Plastic Partition Cabinet Clapboard - 8 Pcs,Default Title,,,,,1125_Multi_Dividers_8Pc,,,0
3077-electric-camphor-diffuser-kapoor-dani,3077,Electric Camphor Diffuser Kapoor Dani,Default Title,,,,,3077_Premium_Kapoor_Dani,,,97
1355-multipurpose-capsule-bottle-shape-portable-storage-organizer,1355,Multipurpose Capsule Bottle Shape Portable Storage Organizer,Default Title,,,,,1355_Capsule_Bottle,,,2401
1124-premium-multipurpose-heavy-duty-cupboard-refrigerator-sofa-base-stand-set-of-4-pcs,1124,Premium Multipurpose Heavy Duty Cupboard/Refrigerator/Sofa Base Stand - Set of 4 Pcs,Default Title,,,,,1124_Premium_Base_Stand_4Pc,,,538
1123-painting-water-color-kit-12-shades-and-paint-brush-13-pcs,1123,Painting Water Color Kit - 12 Shades and Paint Brush (13 Pcs),Default Title,,,,,1123_13Pc_Color_Set,,,0
1576-garbage-bags-large-size-black-colour-30-x-50,1576,Garbage Bags Large Size Black Colour (30 x 50) - 10 pcs,Default Title,,,,,1576_Garbage_Bags_30X50,,,240
1575-garbage-bags-medium-size-black-colour-24-x-32,1575,Garbage Bags Medium Size Black Colour (24 x 32) - 15 pcs,Default Title,,,,,1575_Garbage_Bags_24X32,,,0
1574-garbage-bags-small-size-black-colour-17-x-19,1574,Garbage Bags Small Size Black Colour (17 x 19) - 30 pcs,Default Title,,,,,1574_Garbage_Bag_17X19,,,0
2242-multipurpose-masala-spice-rack-container-set-of-4-pcs,2242,Multipurpose Masala/Spice Rack Container - Set of 4 Pcs,Default Title,,,,,2242_4Pc_Stylish_Rack,,,557
2241-multipurpose-12-in-1-vegetable-and-fruit-chopper-cutter-grater-slicer,2241,Multipurpose 12 in 1 Vegetable and Fruit Chopper Cutter Grater Slicer,Default Title,,,,,2241_12In1_Multi_Cutter,,,174
7006-multi-functional-spoon-knife-dish-other-kitchen-cutlery-stainless-steel-holder-stand,7006,"Multi Functional Spoon, Knife, Dish & Other Kitchen Cutlery Stainless Steel Holder Stand",Default Title,,,,,7006_SS_Cutlery_Stand,,,0
7005-self-design-stainless-steel-fork-set-6-pcs,7005,Self Design Stainless Steel Fork Set - 6 Pcs,Default Title,,,,,7005_SS_Fork_6Pc,,,0
7004-stainless-steel-big-spoon-for-home-kitchen-set-of-6-pcs,7004,Stainless Steel Big Spoon for Home/Kitchen (Set of 6 Pcs),Default Title,,,,,7004_SS_Spoon_Big_6Pc,,,0
7003-stainless-steel-small-spoon-for-home-kitchen-set-of-6-pcs,7003,Stainless Steel Small Spoon for Home/Kitchen (Set of 6),Default Title,,,,,7003_SS_Spoon_Small_6Pc,,,0
7002-stainless-steel-dinner-butter-knives-with-round-edge,7002,Stainless Steel Dinner Butter Knives with Round Edge,Default Title,,,,,7002_Butter_Knife_1Pc,,,0
2240-stainless-steel-kitchen-tool-set-butcher-knife-standard-knife-peeler-and-kitchen-scissor-4-pcs,2240,"Stainless Steel Kitchen Tool Set (Butcher Knife, Standard Knife, Peeler and Kitchen Scissor) - 4 Pcs",Default Title,,,,,2240_4Pc_Kitchen_Tool_Set,,,1397
2239-container-set-for-kitchen-storage-airtight-food-grade-plastic-pack-of-4-3000ml-1500ml-1000ml-500ml,2239,"Container Set For Kitchen Storage Airtight & Food Grade Plastic (Pack of 4) (3000ml,2000ml,1500ml,500ml)",Default Title,,,,,2239_4Pc_Grocery_Container,,,0
1570-3-layer-multipurpose-portable-folding-shoe-rack-shoe-cabinet,1570,3 Layer Multipurpose Portable Folding Shoe Rack/Shoe Cabinet,Default Title,,,,,1570_3Layer_Shoe_Rack,,,88
0529-pedicure-manicure-tools-kit-7in1,529,Pedicure & Manicure Tools Kit  (7in1),Default Title,,,,,0529_7In1_SS_Manicure_Set,,,44
2237-multipurpose-tortoise-shape-dry-fruit-gift-box,2237,Multipurpose Tortoise Shape Dry Fruit/ Gift Box,Default Title,,,,,2237_Big_Turtle_Dryfruit_Box,,,165
2238-multipurpose-decorative-6-storage-tree-shape-mukhwas-dani-serving-tray,2238,Multipurpose Decorative 6 Storage Tree Shape Mukhwas Dani/Serving Tray,Default Title,,,,,2238_Zoomkha_Tree_6Pc,,,165
1120-silicon-sink-strainer-kitchen-drain-basin-basket-sink-drainer,1120,Silicon Sink Strainer Kitchen Drain Basin Basket Sink Drainer,Default Title,,,,,1120_Sili_Round_Sink_Strainer,,,839
1121-love-shape-self-adhesive-hooks,1121,Love Shape Self Adhesive Hooks,Default Title,,,,,1121_4Pc_Love_Hooks,,,170
silver-plated-laxmi-ganesh-pooja-thali-set-set-of-6-pieces,2236,Silver Plated Laxmi & Ganesh Pooja Thali Set (Set of 6 Pieces),Default Title,,,,,2236_6Pc_Poojathali,,IN,0
silver-plated-pooja-thali,2235,Silver Plated Pooja Thali,Default Title,,,,,2235_Plain_Poojathali,,,121
2234-fancy-aluminium-foil-designer-bajot,2234,Fancy Aluminium Foil Designer Bajot,Default Title,,,,,2234_Silver_Bajot,,,254
1573-magnifying-glass-with-3-led-light-3x-power-and-rubberized-handle,1573,Magnifying Glass with 3 Led Light 3X Power and Rubberized Handle,Default Title,,,,,1573_3X_Magnifier,,,180
1352-anti-crack-silicone-gel-foot-protector-moisturizing-socks,1352,Anti Crack silicone Gel Foot Protector Moisturizing Socks,Default Title,,,,,1352_Premium_Gel_Socks,,,459
1351-heart-shape-womens-underwear-case-travel-portable-storage-bag-box,1351,Heart Shape Women's Underwear Case Travel Portable Storage Bag Box,Default Title,,,,,1351_Heart_Bra_Org,,,0
1350-womens-underwear-case-travel-portable-storage-bag-box,1350,Women's Underwear Case Travel Portable Storage Bag Box,Default Title,,,,,1350_Single_Bra_Org,,,224
2233-multipurpose-round-flower-self-design-storage-basket,2233,Multipurpose Round Flower Self Design Storage Basket,Default Title,,,,,2233_Flower_Shape_Basket,,,0
2231-plastic-serving-trays,2231,Plastic Serving Trays,Default Title,,,,,2231_12Inch_Serving_Tray,,,312
2230-multipurpose-plastic-oval-shape-storage-basket,2230,Multipurpose Plastic Oval Shape Storage Basket,Default Title,,,,,2230_Oval_Shape_Basket,,,0
2229-compact-6-in-1-egg-boiler-cooker-poacher,2229,Compact 6 in 1 Egg Boiler Cooker/Poacher,Default Title,,,,,2229_6In1_Egg_Cooker,,,0
1571-gardening-tools-seed-handheld-shovel-rake-spade-trowel-with-pruning-shear,1571,Gardening Tools Seed Handheld Shovel Rake Spade Trowel with Pruning Shear,Default Title,,,,,1571_Big_Garden_Tool_4pc,,,0
1119-bamboo-wood-skewer-bbq-sticks,1119,Bamboo Wood Skewer BBQ Sticks (10 inch),Default Title,,,,,1119_Big_Bamboo_Bbq_Stick,,,836
2228-barbecue-skewers-for-bbq-tandoor-and-gril-with-wooden-handle,2228,Barbecue Skewers for BBQ Tandoor and Gril with Wooden Handle - Pack of 12,Default Title,,,,,2228_Premium_Bbq_Stick_12Pc,,,2283
2227-multipurpose-decorative-multi-storage-mukhwas-dani-serving-tray,2227,Multipurpose Decorative Multi Storage Mukhwas Dani/Serving Tray,Default Title,,,,,2227_Shaan_2_Multi_Box,,,0
1347-selfie-sticks-box-with-aux-wire-for-all-smart-phones,1347,Selfie Sticks Box with Aux Wire for All Smart Phones,Default Title,,,,,1347_Selfy_Stick_Box,,,0
7603-drawstring-dori-backpack,7603,Drawstring Dori Backpack,Default Title,,,,,7603_Premium_Dori_Bag,,,0
1345-multipurpose-wooden-clips-cloth-pegs-small-50-pcs,1345,"Multipurpose Wooden Clips /Cloth Pegs (Small, 50 Pcs)",Default Title,,,,,1345_Small_Wooden_Clip_50Pc,,,0
2225-folding-portable-barbeque-bbq-grill-set-for-outdoor-and-home,2225,Folding Portable Barbeque BBQ Grill Set for Outdoor and Home,Default Title,,,,,2225_Portable_Bbq,,,297
1117-artistic-flat-painting-brush-set-of-3,1117,Artistic Flat Painting Brush - Set of 3,Default Title,,,,,1117_3Pc_Art_Brush,,,0
1569-kids-handmade-plastic-safety-scissors-safety-scissors,1569,Kids Handmade Plastic Safety Scissors Safety Scissors,Default Title,,,,,1569_Mini_Kid_Scissor,,,423
1116-natural-bamboo-wooden-skewers-bbq-sticks-for-barbeque-and-grilling,1116,Natural Bamboo Wooden Skewers/BBQ Sticks for Barbeque and Grilling,Default Title,,,,,1116_Bamboo_Bbq_Stick,,,0
1115-silicone-collapsible-funnel-kitchen-for-flexible-extension,1115,Silicone Collapsible Funnel Kitchen for Flexible Extension,Default Title,,,,,1115_Premium_Sili_Funnel,,,0
2224-bbq-tandoor-skewers-grill-sticks-for-barbecue,2224,BBQ Tandoor Skewers Grill Sticks for Barbecue (Pack of 12),Default Title,,,,,2224_12pc_Grill_Stick,,,1018
2223-multipurpose-2-in-1-stainless-steel-vegetable-cutter-peeler,2223,Multipurpose 2 in 1 Stainless Steel Vegetable Cutter/Peeler,Default Title,,,,,2223_Premium_Veg_Cutter,,,0
2222-multipurpose-fruit-vegetable-strainer-colander-bowl-with-handle,2222,Multipurpose Fruit Vegetable Strainer Colander Bowl with Handle,Default Title,,,,,2222_Draining_Basket,,,165
2221-kitchen-organizer-rack-with-water-storing-tray-dish-rack,2221,Kitchen Organizer Rack with Water Storing Tray/Dish Rack,Default Title,,,,,2221_Kitchen_Organiser_Rack,,,0
2220-heart-shape-attractive-box,2220,Heart Shape Attractive Box,Default Title,,,,,2220_Small_lovely,,,372
2219-designer-roli-chopra-in-ganesh-shape-box,2219,Designer Roli Chopra in Ganesh Shape Box,Default Title,,,,,2219_Ganesh_Box,,,37
2218-dry-fruit-air-tight-bowls-tray-with-lids-4-section-snacks-mukhvas-dani,2218,Dry Fruit Air Tight Bowls Tray with Lids 4 Section Snacks Mukhvas Dani,Default Title,,,,,2218_Shaan_4_Tray,,,92
2217-decorative-bowl-with-lid-for-candy-box-dry-fruit-box,2217,"Decorative Bowl with Lid for Candy Box, Dry Fruit Box",Default Title,,,,,2217_Richi_Rich_Bowl,,,0
2216-dubai-mukhwas-dani-traditional-art-work,2216,Dubai Mukhwas Dani Traditional Art Work,Default Title,,,,,2216_Dubai_Bowl,,,0
1343-hair-curling-iron-rod-for-women-black,1343,Hair Curling Iron Rod for Women (black),Default Title,,,,,1343_Hair_Curling_Iron,,,310
2215-vegetable-and-dry-fruit-cutter-with-stainless-steel-blades,2215,Vegetable and Dry Fruit Cutter with Stainless Steel Blades,Default Title,,,,,2215_Dry_Fruit_Cutter,,,238
1342-extra-strong-pull-string-body-building-training-pull-rope-rubber-exerciser,1342,"Extra Strong Pull String Body Building Training, Pull Rope Rubber Exerciser (loose)",Default Title,,,,,1342_Pull_Rope_Exerciser,,,142
wall-mount-shelf-rack-kitchen-and-bathroom-accessories-15x5-inch,3107,Acrylic Wall Mount Shelf Rack Kitchen and Bathroom Accessories (15X5-inch),Default Title,,,,,3107_SHELF_5x15,,,0
2213-mini-dustpan-with-brush-broom-set-for-multipurpose-cleaning-2-pcs,2213,Mini Dustpan with Brush Broom Set for Multipurpose Cleaning - 2 pcs,Default Title,,,,,2213_Mini_Dustpan_Set_2Pc,,,0
2214-multifunctional-vegetable-fruits-cutter-shredder-with-rotating-drain-basket,2214,Multifunctional Vegetable Fruits Cutter Shredder with Rotating Drain Basket,Default Title,,,,,2214_10In1_Cutter_Basket,,,28
1112-multipurpose-self-adhesive-plastic-wall-hooks-6-pcs,1112,Multipurpose Self Adhesive Plastic Wall Hooks - 6 pcs,Default Title,,,,,1112_Fashion_Hook_6Pc,,,0
1113-plastic-self-adhesive-flower-shape-hooks-pack-of-5,1113,Plastic Self-Adhesive Flower Shape Hooks (Pack of 5),Default Title,,,,,1113_Flower_Hook_5Pc,,,0
1111-self-adhesive-smiley-face-wall-hooks-pack-of-3,1111,Self Adhesive Smiley Face Wall Hooks (Pack of 3),Default Title,,,,,1111_3Pc_Smiley_Hook,,,0
1098-corner-shelf-multipurpose-tray-with-suction-cup,1098,Corner Shelf Multipurpose Tray with Suction Cup,Default Title,,,,,1098_Corner_Shelf_Suction,,,0
1340-womens-disposable-shaving-razor-for-hair-removal-pack-of-5,1340,Women's Disposable Shaving Razor for Hair Removal (Pack of 5),Default Title,,,,,1340_Women_Razor_5Pc,,,0
plastic-multipurpose-kitchen-bathroom-shelf-wall-holder-storage-rack,1099,Plastic Multipurpose Kitchen Bathroom Shelf Wall Holder Storage Rack,Default Title,,,,,1099_Corner_Shelf_Sticker,,,0
1339-sanitary-urinal-cubes-100-grams,1339,Sanitary Urinal Cubes - 100 grams,Default Title,,,,,1339_Urinal_Cube_100Gm,,,144
men-shaving-razor-body-hair-removal-pack-of-5,1341,Men Shaving Razor Body Hair Removal (pack of 5),Default Title,,,,,1341_Men_Razor_5Pc,,,371
2212-round-self-designed-table-tea-coaster-set-5-pcs,2212,Round Self Designed Table Tea Coaster Set - 5 Pcs,Default Title,,,,,2212_Stand_Tea_Coaster_5Pc,,,318
2211-stainless-steel-knife-peeler-set-with-stand-6-pcs,2211,Stainless Steel Knife & Peeler Set with Stand - 6 Pcs,Default Title,,,,,2211_Knife_Set_6Pcs,,,573
1567-a4-multipurpose-eco-friendly-paper-sheets,1567,A4 Multipurpose Eco-Friendly Paper Sheets,Default Title,,,,,1567_Plain_A4_500_Sheet,,,0
1566-transparent-strong-tape-rolls-for-multipurpose-packing-use,1566,Transparent Strong Tape Rolls for Multipurpose Packing Use,Default Title,,,,,1566_Cello_Tape_130_Mtr,,,0
