prod code,product name,,Variant Grams,Variant Price,Variant Compare At Price,Image Src,Cost per item,SHIPPING,GST,TOTAL,PAYOUT,TRAN CHRG,PROFIT,PURCHASE RATE,MRP,DISCOUNT,SELLING RATE
1239,Reusable Plastic Portable Rat/Mice/Mouse Trap,Repellents,189,52,298,https://cdn.shopify.com/s/files/1/1916/9825/products/31X6E9aixdL.jpg?v=1606576709,26,42,12,80,80,24,86,270,297,10,267
0844,Stainless Steel Palette Knife Offset Spatula for Spreading and Smoothing Icing Frosting of Cake 12 Inch,Kitchen,80,52,298,https://cdn.shopify.com/s/files/1/1916/9825/products/0844.jpg?v=1606575374,26,42,12,80,80,24,86,270,297,10,267
1277,Anti Crack Silicon Gel Heel Moisturizing Socks for Foot Care Men Women (Loose Pack),"Beauty, Health & Personal Care",117,52,298,https://cdn.shopify.com/s/files/1/1916/9825/products/01_3268bc8b-2788-4a41-817f-7d47fe5e60e3.jpg?v=1630007447,26,42,12,80,80,24,86,270,297,10,267
2157,Stainless Steel Electronic Gas Lighter for lighting Gas Stove,Kitchen,128,52,298,https://cdn.shopify.com/s/files/1/1916/9825/products/300-30004_1b09fa18-d3c4-40ad-994f-941f93ecf395.jpg?v=1607644795,26,42,12,80,80,24,86,270,310,15,264
0826,Foldable Kitchen Collapsible Funnel for Water Bottle Liquid Transfer Food Grade Funnels Set (Big),Kitchen,34,54,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_f0454fb7-90d8-48e2-8bed-f3f3af1406b4.jpg?v=1639216475,27,42,12,81,80,24,86,271,311,15,265
2007,Crinkle Cut Knife Potato Chip Cutter With Wavy Blade French Fry Cutter,Kitchen,59,54,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1_25412a60-1b18-41e7-887c-f8dd80b74e2d.jpg?v=1606577949,27,42,12,81,80,24,86,271,311,15,265
1186,Premium Coconut Opener Tool/Driller with Comfortable Grip,Kitchen Tools,158,54,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_3feb8b3a-baec-42fe-8cc2-fd00b66873f7.jpg?v=1619126087,27,42,12,81,80,24,86,271,311,15,265
0811,Plastic Measuring Spoons for Kitchen (6 pack),Kitchen,204,56,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_c66e2000-878a-4a1a-aff2-e7e6e214fb45.jpg?v=1619125983,28,42,13,83,80,24,86,273,314,15,267
1269,Bass heads in Ear Wired Earphones with Mic,Mobile Accessories,20,56,298,https://cdn.shopify.com/s/files/1/1916/9825/products/DSCN3502.jpg?v=1606577124,28,42,13,83,80,24,86,273,314,15,267
1504,Disposable Eco-friendly Garbage/Dustbin/Trash Bag (Pack of 30) (Size 19X21),Cleaning Supplies,128,58,298,https://cdn.shopify.com/s/files/1/1916/9825/products/DisposableEco-friendlyGarbageDustbin09.jpg?v=1606577357,29,42,13,84,80,24,86,274,315,15,268
2122,Multipurpose Traditional Decorative Design Wooden Chowki/Bajot,Home Decor,141,58,298,https://cdn.shopify.com/s/files/1/1916/9825/products/5mainimage.jpg?v=1606579203,29,42,13,84,80,24,86,274,315,15,268
